pattern_name,station_id,candidate_pool_line_number,date,raw_row,tmp_value,vis_value,wnd_value,aa1_value,reason
tmp_missing_sentinel,63250099999,3,1978-07-01T09:00:00,"+9999,9|020000,1,N,9|240,1,N,0062,1||1978-07-01T09:00:00","+9999,9","020000,1,N,9","240,1,N,0062,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,72547299999,344,1997-02-25T04:53:00,"+9999,9|016093,1,N,1|170,1,N,0021,1||1997-02-25T04:53:00","+9999,9","016093,1,N,1","170,1,N,0021,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,63250099999,15,1978-07-09T06:00:00,"+9999,9|020000,1,N,9|220,1,N,0051,1||1978-07-09T06:00:00","+9999,9","020000,1,N,9","220,1,N,0051,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,72547299999,345,1997-02-25T05:53:00,"+9999,9|016093,1,N,1|190,1,N,0031,1||1997-02-25T05:53:00","+9999,9","016093,1,N,1","190,1,N,0031,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,63250099999,20,1978-07-13T06:00:00,"+9999,9|025000,1,N,9|140,1,N,0031,1||1978-07-13T06:00:00","+9999,9","025000,1,N,9","140,1,N,0031,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,72547299999,346,1997-02-25T06:53:00,"+9999,9|016093,1,N,1|210,1,N,0031,1||1997-02-25T06:53:00","+9999,9","016093,1,N,1","210,1,N,0031,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,63250099999,29,1978-07-22T03:00:00,"+9999,9|010000,1,N,9|999,1,C,0000,1||1978-07-22T03:00:00","+9999,9","010000,1,N,9","999,1,C,0000,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,72547299999,347,1997-02-25T07:53:00,"+9999,9|016093,1,N,1|210,1,N,0046,1||1997-02-25T07:53:00","+9999,9","016093,1,N,1","210,1,N,0046,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,63250099999,46,1978-08-09T06:00:00,"+9999,9|030000,1,N,9|180,1,N,0062,1||1978-08-09T06:00:00","+9999,9","030000,1,N,9","180,1,N,0062,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,72547299999,348,1997-02-25T08:53:00,"+9999,9|016093,1,N,1|210,1,N,0046,1||1997-02-25T08:53:00","+9999,9","016093,1,N,1","210,1,N,0046,1",,TMP numeric part is +9999 (documented missing sentinel)
tmp_missing_sentinel,63250099999,68,1978-08-21T06:00:00,"+9999,9|030000,1,N,9|180,1,N,0051,1||1978-08-21T06:00:00","+9999,9","030000,1,N,9","180,1,N,0051,1",,TMP numeric part is +9999 (documented missing sentinel)
